H	M
1209.86542	384.50245
1104.75635	387.25823
1004.61533	389.22753
909.62827	348.9068
814.64032	314.88245
719.59796	345.93481
614.54745	303.35713
519.44743	277.79959
424.42332	234.18804
324.49342	246.89055
219.5868	180.15483
119.61757	122.7724
14.64063	137.65189
-90.21031	42.51872
-180.06104	-14.10605
-279.86724	-105.53594
-384.61766	-122.98675
-484.31784	-245.53339
-578.9426	-256.36899
-673.55453	-228.49829
-773.02847	-227.44815
-877.50317	-283.47825
-982.11951	-300.63586
-1081.60199	-309.65798
-1175.95941	-312.07388
-1270.43018	-329.21107
-1374.94159	-409.35849
-1479.34564	-360.76403
-1573.80792	-387.38202
-1673.2807	-456.92617
-1777.67719	-437.38763
-1887.13013	-463.60812
-1981.68237	-452.4302
-2071.24719	-455.91317
-2175.65894	-436.8647
-2269.98071	-517.53773
-2364.42249	-559.2497
-2463.97314	-476.3349
-2568.47949	-545.49027
-2688.01111	-599.18798
-2792.58887	-575.34786
-2872.29541	-578.76099
-2962.08765	-575.63596
-3061.97656	-628.14941
-3167.05151	-584.22865
-3267.38501	-589.19254
-3362.69849	-652.9426
-3467.995	-673.29431
-3568.43286	-604.49803
-3663.82397	-610.71194
-3764.23462	-657.01418
-3864.52258	-667.23123
-3969.68164	-653.14611
-4069.85608	-659.24134
-4164.93311	-693.2841
-4264.99121	-670.46974
-4365.07983	-667.74091
-4470.2373	-687.74568
-4585.47388	-718.31966
-4680.64917	-708.74835
-4765.75122	-693.52383
-4870.7561	-753.89585
-4970.80054	-716.65173
-5065.96216	-708.43253
-5165.96265	-753.84379
-5265.9458	-741.47109
-5365.97607	-723.37192
-5466.04395	-721.62563
-5566.15454	-760.41104
-5685.9873	-721.22711
-5810.8479	-731.80642
-5915.9231	-760.6348
-6016.00244	-793.52259
-6121.00488	-752.02791
-6220.94019	-749.2422
-6320.90259	-818.86143
-6425.94824	-794.48926
-6525.97778	-755.2836
-6625.96509	-755.31235
-6720.98242	-782.04649
-6820.83618	-778.36311
-6930.57935	-802.52518
-7040.53076	-799.34584
-7140.5437	-771.35257
-7235.47363	-805.54187
-7335.49561	-786.52413
-7430.47241	-768.27983
-7530.44678	-785.80395
-7635.51563	-811.32867
-7730.44287	-785.46074
-7830.42993	-807.38964
-7940.4729	-746.81895
-8055.43823	-796.8675
-8165.39404	-782.35337
-8265.42188	-768.84283
-8370.48242	-796.06947
-8470.4751	-804.69258
-8580.52881	-790.94376
-8680.58838	-808.51308
-8765.57617	-783.26133
-8860.61182	-789.25737
-8960.71484	-779.85397
-9065.95361	-763.51906
-9166.31299	-770.77547
-9266.52783	-768.61664
-9361.55615	-781.3005
-9461.55908	-749.72902
-9561.63916	-772.70316
-9656.71289	-804.85123
-9766.70459	-769.98126
-9876.69531	-783.82356
-9991.81592	-826.98101
-10106.99316	-771.25711
-10186.89941	-766.75313
-10266.84717	-801.19375
-10371.84668	-757.82166
-10471.85791	-786.81153
-10571.95068	-790.76865
-10666.93896	-800.67263
-10761.94775	-767.03018
-10861.89502	-829.33661
-10961.88867	-827.37117
-11061.93506	-802.77499
-11157.01855	-780.72009
-11257.0542	-784.03999
-11361.85205	-824.91444
-11466.66064	-764.64597
-11571.64111	-731.29443
-11681.64307	-799.28645
-11791.64844	-829.96798
-11896.61182	-797.5072
-11991.60498	-772.35947
-12101.59619	-829.84932
-12216.61523	-819.0569
-12311.74951	-806.31148
-12411.78662	-810.56126
-12521.67432	-820.63652
-12616.60986	-800.8807
-12716.6792	-812.67018
-12826.71484	-838.18113
-12926.73242	-806.95515
-13026.7251	-826.17171
-13121.74561	-778.68853
-13221.78955	-833.10997
-13331.84277	-796.44721
-13431.87939	-794.09235
