H	M
1586.95652	-0.00429
1543.47826	-0.00427
1500	-0.00423
1456.52174	-0.00425
1413.04348	-0.00422
1369.56522	-0.00401
1326.08696	-0.00347
1282.6087	-0.00274
1239.13043	-0.00233
1195.65217	-0.0022
1152.17391	-0.00206
1108.69565	-0.00186
1065.21739	-0.0018
1021.73913	-0.00171
978.26087	-0.00163
934.78261	-0.00152
891.30435	-0.00142
847.82609	-0.00134
804.34783	-0.00132
760.86957	-0.0012
717.3913	-0.00112
673.91304	-9.75733E-4
630.43478	-9.96359E-4
586.95652	-8.82757E-4
543.47826	-8.3627E-4
500	-6.48842E-4
456.52174	-5.75509E-4
413.04348	-6.96806E-4
369.56522	-6.43607E-4
326.08696	-6.17254E-4
282.6087	-5.70766E-4
239.13043	-4.90721E-4
195.65217	-4.37522E-4
152.17391	-4.11169E-4
108.69565	-3.37836E-4
65.21739	-2.77925E-4
21.73913	-2.04592E-4
-21.73913	-1.24547E-4
-65.21739	-1.04905E-4
-108.69565	-1.05397E-4
-152.17391	2.16275E-5
-195.65217	-3.92673E-5
-239.13043	-1.96253E-5
-282.6087	4.02852E-5
-326.08696	1.27041E-4
-369.56522	2.2722E-4
-413.04348	3.07265E-4
-456.52174	2.86639E-4
-500	2.92858E-4
-543.47826	4.26594E-4
-586.95652	3.58988E-4
-630.43478	4.18898E-4
-673.91304	4.78809E-4
-717.3913	5.32008E-4
-760.86957	6.32187E-4
-804.34783	6.51829E-4
-847.82609	6.98317E-4
-891.30435	7.78361E-4
-934.78261	7.71158E-4
-978.26087	8.44491E-4
-1021.73913	9.84938E-4
-1065.21739	9.37466E-4
-1108.69565	8.43015E-4
-1152.17391	8.69368E-4
-1195.65217	8.82299E-4
-1239.13043	9.69055E-4
-1282.6087	9.14871E-4
-1326.08696	9.6807E-4
-1369.56522	0.00104
-1413.04348	0.00107
-1456.52174	0.00112
-1500	0.00116
-1543.47826	0.00121
-1586.95652	0.0012
-1630.43478	0.00125
-1673.91304	0.00128
-1717.3913	0.00129
-1760.86957	0.00137
-1804.34783	0.00153
-1847.82609	0.00161
-1891.30435	0.00157
-1934.78261	0.00156
-1978.26087	0.00163
-2021.73913	0.00165
-2065.21739	0.00163
-2108.69565	0.00171
