H	M
-5065.0708	-6.59381E-5
-5090.12305	-6.87078E-5
-5113.22412	-6.89317E-5
-5139.05273	-6.90524E-5
-5183.93872	-6.77815E-5
-5221.0166	-6.92245E-5
-5235.0166	-6.83775E-5
-5278.021	-6.7979E-5
-5292.95947	-6.83887E-5
-5317.95557	-7.05804E-5
-5344.00562	-6.9612E-5
-5369.96851	-6.95898E-5
-5395.97241	-7.03189E-5
-5422.94116	-7.03715E-5
-5446.85718	-7.09963E-5
-5470.8855	-7.12967E-5
-5513.91211	-6.83144E-5
-5544.82813	-6.85445E-5
-5576.82153	-6.93233E-5
-5609.91406	-7.18792E-5
-5627.05762	-7.16192E-5
-5652.9541	-7.14812E-5
-5678.92896	-7.0415E-5
-5704.86719	-7.0523E-5
-5730.67236	-7.03412E-5
-5752.59692	-7.1829E-5
-5796.55566	-7.21207E-5
-5810.51172	-7.18115E-5
-5856.54126	-7.23965E-5
-5891.55127	-7.19102E-5
-5922.58667	-7.3156E-5
-5957.54541	-7.2389E-5
-5971.50122	-7.17408E-5
-6016.62915	-7.28321E-5
-6047.39648	-7.15484E-5
-6079.48267	-7.22958E-5
-6091.44507	-7.21542E-5
-6136.56885	-7.58048E-5
-6165.46436	-7.2699E-5
-6198.45239	-7.35433E-5
-6235.45703	-7.51785E-5
-6264.57007	-7.41467E-5
-6297.30469	-7.41E-5
-6326.31958	-7.42749E-5
-6358.2229	-7.34925E-5
-6373.19604	-7.37284E-5
-6422.34424	-7.52729E-5
-6456.38281	-7.48814E-5
-6471.36768	-7.40572E-5
-6514.26831	-7.43926E-5
-6548.28076	-7.34265E-5
-6582.20557	-7.55652E-5
-6614.22803	-7.58985E-5
-6628.12085	-7.53706E-5
-6653.0791	-7.53304E-5
-6676.22778	-7.45742E-5
-6720.30127	-7.52801E-5
-6753.22632	-7.56708E-5
-6768.17236	-7.53541E-5
-6795.1355	-7.48849E-5
-6843.04492	-7.51981E-5
-6857.88599	-7.63208E-5
-6899.6582	-7.53602E-5
-6913.71265	-7.64652E-5
-6954.59229	-7.5848E-5
-6968.58813	-7.72984E-5
-6994.47437	-7.63325E-5
-7041.50879	-7.64482E-5
-7053.58154	-7.70564E-5
-7096.51978	-7.64972E-5
-7134.51392	-7.70683E-5
-7166.4397	-7.69142E-5
-7180.45337	-7.68351E-5
-7221.49219	-7.88184E-5
-7253.51343	-7.70966E-5
-7282.40283	-7.90106E-5
-7316.52441	-7.96745E-5
-7330.55469	-8.04996E-5
-7376.39209	-7.72209E-5
-7390.50708	-7.88549E-5
-7434.33203	-7.93833E-5
-7467.28027	-7.92655E-5
-7499.20557	-7.80498E-5
-7513.32813	-7.86325E-5
-7558.30151	-7.86583E-5
-7572.3623	-7.92193E-5
-7618.26636	-8.08372E-5
-7652.27466	-7.88851E-5
-7685.27026	-7.84927E-5
-7721.23608	-7.87342E-5
-7754.29248	-8.14764E-5
-7769.35522	-7.82871E-5
-7817.1792	-8.11535E-5
-7831.21143	-7.948E-5
-7856.14502	-8.05189E-5
-7882.10889	-7.9956E-5
-7923.26367	-7.99603E-5
-7960.18384	-8.16727E-5
-7976.15649	-7.94766E-5
-8019.88086	-8.25621E-5
-8054.89282	-8.11779E-5
-8070.83862	-8.05088E-5
-8096.84058	-8.21634E-5
-8138.80811	-8.0267E-5
-8170.8291	-8.10583E-5
-8183.82153	-8.12704E-5
-8206.84961	-8.02649E-5
-8229.86279	-8.03725E-5
-8275.73193	-8.28121E-5
-8290.72949	-8.27238E-5
-8338.71924	-8.04587E-5
-8373.62354	-8.02486E-5
-8408.72461	-8.18279E-5
-8424.67188	-8.29646E-5
-8449.69043	-8.24908E-5
-8475.72217	-8.30787E-5
-8500.66113	-8.2169E-5
-8540.6875	-8.34222E-5
-8573.60205	-8.25532E-5
-8605.53516	-8.37491E-5
-8638.4668	-8.26721E-5
-8671.47412	-8.19333E-5
-8701.51953	-8.1872E-5
-8735.42627	-8.28924E-5
-8770.48828	-8.26781E-5
-8800.52344	-8.20186E-5
-8814.48926	-8.27619E-5
-8842.47705	-8.19742E-5
-8870.38623	-8.47078E-5
-8918.38525	-8.24927E-5
-8952.34521	-8.53981E-5
-8981.30762	-8.46618E-5
-9021.38867	-8.27275E-5
-9036.30908	-8.5342E-5
-9079.33936	-8.33362E-5
-9095.37109	-8.2384E-5
-9120.46582	-8.56105E-5
-9160.88574	-8.45566E-5
-9191.94971	-8.4897E-5
-9221.88037	-8.35524E-5
-9259.87305	-8.48556E-5
-9293.81348	-8.46512E-5
-9308.78564	-8.58313E-5
-9353.75342	-8.47859E-5
-9367.76904	-8.52953E-5
-9393.80566	-8.59196E-5
-9437.71875	-8.59902E-5
-9449.75049	-8.7136E-5
-9497.70508	-8.51679E-5
-9511.69678	-8.4993E-5
-9557.64502	-8.66632E-5
-9591.58008	-8.56581E-5
-9630.51074	-8.54322E-5
-9644.55273	-8.59849E-5
-9669.61377	-8.78327E-5
-9691.60596	-8.52794E-5
-9733.51709	-8.61835E-5
-9768.44385	-8.68203E-5
-9802.36816	-8.66245E-5
-9836.45703	-8.56546E-5
-9849.38379	-8.54087E-5
-9895.43799	-8.65273E-5
-9925.42969	-8.82138E-5
-9960.33691	-8.59819E-5
-9999.53369	-8.55011E-5
-9996.46582	-8.40382E-5
-9984.66992	-8.73675E-5
-9961.30273	-8.76231E-5
-9922.04736	-8.61626E-5
-9890.10059	-8.70975E-5
-9854.1543	-8.59652E-5
-9822.1582	-8.70301E-5
-9783.3374	-8.74417E-5
-9751.37207	-8.62485E-5
-9720.47949	-8.6237E-5
-9706.60791	-8.6612E-5
-9682.5708	-8.74205E-5
-9657.47412	-8.73714E-5
-9611.53906	-8.89177E-5
-9578.76758	-8.7497E-5
-9546.8457	-8.4061E-5
-9513.81982	-8.57231E-5
